period,interest_rate,inflation_yoy,growth_proxy_yoy
1997-12-31,5.5,1.6828069280650255,7.9559126044084385
1998-01-31,5.56,1.6179568876269268,8.234903994616358
1998-02-28,5.51,1.4299280011417346,7.2098712764835255
1998-03-31,5.49,1.3673301900209642,6.612422361685104
1998-04-30,5.45,1.4281521841403815,6.837809228209611
1998-05-31,5.49,1.67445772738017,6.94234438379411
1998-06-30,5.56,1.6099418934181116,5.882135200403116
1998-07-31,5.54,1.7305747097592428,4.646242265080677
1998-08-31,5.55,1.603982568103658,5.699937761549903
1998-09-30,5.51,1.416716026478027,4.734947424396386
1998-10-31,5.07,1.4751343087072764,4.53346233568202
1998-11-30,4.83,1.4733231512984086,3.6731907297259383
1998-12-31,4.68,1.5941477997688185,3.700261330779341
1999-01-31,4.63,1.6529301951210507,3.6940074136825043
1999-02-28,4.76,1.6529301951210507,4.138566416890424
1999-03-31,4.81,1.7136282242987237,4.330012584622393
1999-04-30,4.74,2.255505551508637,4.217072875711725
1999-05-31,4.74,2.069459124283296,4.190366348209049
1999-06-30,4.76,1.946533478810325,4.713564085622764
1999-07-31,4.99,2.121934722674172,5.675812986775249
1999-08-31,5.07,2.2391253175445422,4.027347197309978
1999-09-30,5.22,2.595980369579781,3.6760538842608668
1999-10-31,5.2,2.5302554664785903,4.209642364655583
1999-11-30,5.42,2.586610371218127,4.769052691251297
1999-12-31,5.3,2.641209953977728,5.085391115420896
2000-01-31,5.45,2.754665195549507,4.51736806639158
2000-02-29,5.73,3.1672799866667116,4.222902672455951
2000-03-31,5.85,3.6930939027288554,4.351238656479323
2000-04-30,6.02,2.969339292514635,4.715098188433379
2000-05-31,6.27,3.084467535109835,4.355236667935543
2000-06-30,6.53,3.6668803637087124,4.472750131774656
2000-07-31,6.54,3.5360195395884495,3.7005266546147233
2000-08-31,6.5,3.296354955128475,3.027138998976699
2000-09-30,6.52,3.398100819314386,3.8920734060099176
2000-10-31,6.51,3.3921380945667385,2.2878465443593217
2000-11-30,6.51,3.386196261017607,1.8322393817013578
2000-12-31,6.4,3.3783061243644927,0.7370489261560376
2001-01-31,5.98,3.6536392061926453,0.39686052959513696
2001-02-28,5.49,3.4685557987890108,-0.5684585549410089
2001-03-31,5.31,2.938845899950049,-1.128640983433192
2001-04-30,4.8,3.167555345114574,-2.0817371917717606
2001-05-31,4.21,3.501074937252054,-2.830874875675559
2001-06-30,3.97,3.144014316697529,-3.399344940047623
2001-07-31,3.77,2.685108472284635,-3.846552021833994
2001-08-31,3.65,2.685108472284635,-3.6887326390676147
2001-09-30,3.07,2.5591388069366103,-4.656928542031954
2001-10-31,2.49,2.1053409197832265,-4.5421120156954355
2001-11-30,2.09,1.8766544497068196,-5.176618471711871
2001-12-31,1.82,1.5909426469977446,-4.89253238042128
2002-01-31,1.73,1.1888053959589435,-3.7521389612119282
2002-02-28,1.74,1.1299555253933466,-3.087139979513847
2002-03-31,1.73,1.353658571753332,-2.160665534497285
2002-04-30,1.75,1.63062370383963,-1.3139272506955322
2002-05-31,1.75,1.2331994848171202,-0.4342299253963643
2002-06-30,1.75,1.063542070749366,0.9166963899822321
2002-07-31,1.73,1.4549781014731147,1.5269796531774011
2002-08-31,1.74,1.7323707897456395,1.530708257330199
2002-09-30,1.75,1.504625766246033,2.1233607274664856
2002-10-31,1.75,2.006756305080917,2.1893990392071747
2002-11-30,1.34,2.2285044789434956,3.3546026394709014
2002-12-31,1.24,2.4500111867899403,2.8396908911190257
2003-01-31,1.24,2.720123300026257,3.024924979391994
2003-02-28,1.26,3.097592789430493,3.132144603923663
2003-03-31,1.25,2.980353039058175,2.1477141996685063
2003-04-30,1.26,2.1518071628942574,1.0631424521920225
2003-05-31,1.26,1.8764347468486473,0.6349016623750425
2003-06-30,1.22,1.9300295812365895,-0.05888879011465191
2003-07-31,1.01,2.034714133086948,0.48582182889527054
2003-08-31,1.03,2.1918685707646275,0.37852139925415657
2003-09-30,1.01,2.350477162137556,0.9363316998081427
2003-10-31,1.01,2.0213744784200363,1.2679010093434366
2003-11-30,1.0,1.910017137341943,1.377502622531266
2003-12-31,0.98,2.014770030411127,1.9647599545641856
2004-01-31,1.0,2.006030944667475,1.2682820040776714
2004-02-29,1.01,1.6743572361286712,1.7509705222010337
2004-03-31,1.0,1.7251101669768416,1.6132920720870167
2004-04-30,1.0,2.2666917564292057,2.5815135205763013
2004-05-31,1.0,2.8565671754459125,3.3285665343309594
2004-06-30,1.03,3.118532282699885,2.417571182556975
2004-07-31,1.26,2.897198344333197,2.6494455958637717
2004-08-31,1.43,2.515519313719588,2.9349580497980536
2004-09-30,1.61,2.507466659637566,2.4193013153995375
2004-10-31,1.76,3.1410620621106937,3.1457469132811293
2004-11-30,1.93,3.557582497327385,2.725523253460843
2004-12-31,2.16,3.2876768004108943,3.489552750613454
2005-01-31,2.28,2.8051587929217305,3.69649804029702
2005-02-28,2.5,3.007348768392921,3.8183520356580924
